source language,target language,translation engine,is preferred engine?
af,nl,Apertium,False
ca,eu,Elia,False
ca,fr,Elia,False
ca,simple,Elia,False
en,as,Flores,False
en,ast,Flores,False
en,ay,Flores,False
en,ba,Flores,False
en,ckb,Flores,False
en,ha,Flores,False
en,ig,Flores,False
en,ilo,Flores,False
en,is,Flores,False
en,kg,Flores,False
en,ln,Flores,False
en,lg,Flores,False
en,nso,Flores,False
en,oc,Flores,False
en,om,Flores,False
en,ss,Flores,False
en,tn,Flores,False
en,ts,Flores,False
en,wo,Flores,False
en,yue,Flores,False
en,zh,Flores,False
en,zu,Flores,False
Google,af,Google,False
Google,am,Google,False
Google,ar,Google,False
Google,arz,Google,False
Google,as,Google,False
Google,ay,Google,False
Google,az,Google,False
Google,be,Google,False
Google,be-tarask,Google,False
Google,bg,Google,False
Google,bho,Google,False
Google,bm,Google,False
Google,bn,Google,False
Google,bs,Google,False
Google,ca,Google,False
Google,ceb,Google,False
Google,ckb,Google,False
Google,co,Google,False
Google,cs,Google,False
Google,cy,Google,False
Google,da,Google,False
Google,de,Google,False
Google,dv,Google,False
Google,ee,Google,False
Google,el,Google,False
Google,en,Google,False
Google,eo,Google,False
Google,es,Google,False
Google,et,Google,False
Google,eu,Google,False
Google,fa,Google,False
Google,fi,Google,False
Google,fr,Google,False
Google,fy,Google,False
Google,ga,Google,False
Google,gan,Google,False
Google,gd,Google,False
Google,gl,Google,False
Google,gn,Google,False
Google,gom,Google,False
Google,gu,Google,False
Google,ha,Google,False
Google,haw,Google,False
Google,he,Google,False
Google,hi,Google,False
Google,hr,Google,False
Google,ht,Google,False
Google,hu,Google,False
Google,hy,Google,False
Google,id,Google,False
Google,ig,Google,False
Google,ilo,Google,False
Google,is,Google,False
Google,it,Google,False
Google,ja,Google,False
Google,jv,Google,False
Google,ka,Google,False
Google,kk,Google,False
Google,km,Google,False
Google,kn,Google,False
Google,ko,Google,False
Google,ku,Google,False
Google,ky,Google,False
Google,la,Google,False
Google,lb,Google,False
Google,lg,Google,False
Google,ln,Google,False
Google,lo,Google,False
Google,lt,Google,False
Google,lv,Google,False
Google,mai,Google,False
Google,mg,Google,False
Google,mi,Google,False
Google,mk,Google,False
Google,ml,Google,False
Google,mn,Google,False
Google,mni,Google,False
Google,mr,Google,False
Google,ms,Google,False
Google,mt,Google,False
Google,my,Google,False
Google,ne,Google,False
Google,nl,Google,False
Google,False,Google,False
Google,nso,Google,False
Google,ny,Google,False
Google,om,Google,False
Google,or,Google,False
Google,pa,Google,False
Google,pl,Google,False
Google,ps,Google,False
Google,pt,Google,False
Google,qu,Google,False
Google,ro,Google,False
Google,ru,Google,False
Google,rw,Google,False
Google,sa,Google,False
Google,sd,Google,False
Google,sh,Google,False
Google,si,Google,False
Google,simple,Google,False
Google,sk,Google,False
Google,sl,Google,False
Google,sm,Google,False
Google,sn,Google,False
Google,so,Google,False
Google,sq,Google,False
Google,sr,Google,False
Google,st,Google,False
Google,su,Google,False
Google,sv,Google,False
Google,sw,Google,False
Google,ta,Google,False
Google,te,Google,False
Google,tg,Google,False
Google,th,Google,False
Google,ti,Google,False
Google,tk,Google,False
Google,tl,Google,False
Google,tr,Google,False
Google,ts,Google,False
Google,tt,Google,False
Google,tw,Google,False
Google,ug,Google,False
Google,uk,Google,False
Google,ur,Google,False
Google,uz,Google,False
Google,vi,Google,False
Google,wuu,Google,False
Google,xh,Google,False
Google,yi,Google,False
Google,yo,Google,False
Google,yue,Google,False
Google,zh,Google,False
Google,zu,Google,False
en,wuu,LingoCloud,False
en,zh,LingoCloud,False
en,as,OpusMT,False
en,bcl,OpusMT,False
en,ts,OpusMT,False
en,qqq,TestClient,False
Yandex,af,Yandex,False
Yandex,am,Yandex,False
Yandex,ar,Yandex,False
Yandex,az,Yandex,False
Yandex,ba,Yandex,False
Yandex,be,Yandex,False
Yandex,be-tarask,Yandex,False
Yandex,bn,Yandex,False
Yandex,bg,Yandex,False
Yandex,bs,Yandex,False
Yandex,ca,Yandex,False
Yandex,ceb,Yandex,False
Yandex,cs,Yandex,False
Yandex,cv,Yandex,False
Yandex,cy,Yandex,False
Yandex,da,Yandex,False
Yandex,de,Yandex,False
Yandex,el,Yandex,False
Yandex,en,Yandex,False
Yandex,eo,Yandex,False
Yandex,es,Yandex,False
Yandex,et,Yandex,False
Yandex,eu,Yandex,False
Yandex,fa,Yandex,False
Yandex,fi,Yandex,False
Yandex,fr,Yandex,False
Yandex,ga,Yandex,False
Yandex,gd,Yandex,False
Yandex,gl,Yandex,False
Yandex,gu,Yandex,False
Yandex,he,Yandex,False
Yandex,hi,Yandex,False
Yandex,hr,Yandex,False
Yandex,ht,Yandex,False
Yandex,hu,Yandex,False
Yandex,hy,Yandex,False
Yandex,id,Yandex,False
Yandex,is,Yandex,False
Yandex,it,Yandex,False
Yandex,ja,Yandex,False
Yandex,jv,Yandex,False
Yandex,ka,Yandex,False
Yandex,kk,Yandex,False
Yandex,km,Yandex,False
Yandex,kn,Yandex,False
Yandex,ko,Yandex,False
Yandex,ky,Yandex,False
Yandex,la,Yandex,False
Yandex,lb,Yandex,False
Yandex,lo,Yandex,False
Yandex,lt,Yandex,False
Yandex,lv,Yandex,False
Yandex,mi,Yandex,False
Yandex,mg,Yandex,False
Yandex,mhr,Yandex,False
Yandex,ml,Yandex,False
Yandex,mk,Yandex,False
Yandex,mn,Yandex,False
Yandex,mrj,Yandex,False
Yandex,mr,Yandex,False
Yandex,ms,Yandex,False
Yandex,mt,Yandex,False
Yandex,my,Yandex,False
Yandex,nb,Yandex,False
Yandex,ne,Yandex,False
Yandex,nl,Yandex,False
Yandex,pa,Yandex,False
Yandex,pap,Yandex,False
Yandex,pl,Yandex,False
